sku,store,attribute_set,name,base_item,sku_family,type,visibility,visibility_def,simples_skus,configurable_attributes ,tax_class_id,packaging_type_rank,packaging_type,package_count,package_piececount,version_number,slash_letter,overall_status_rank,overall_status,specific_status_rank,specific_status,lead_style,product_type,description,short_description,frequency_hertz,price,price_piece,min_order_qty,version_description,starting_method,lamp_connection,ballast_factor,lamp_combinations,number_of_lamps,lamp_type,rohs_compliant,energy_star,input_power,input_type,max_voltage_combinations,power_factor,power_factor_value,line_voltage,line_current,min_start_temp,sound_rating,dimming_status,standards,approvals,ul_temp_code,product_patent,length_inches,width_inches,height_inches,mounting,remote_mounting,weight,sku_length,sku_height,sku_width,sku_weight,lamps,successor_item,successor_base_item,successor_item_sku_family,substitute_item,substitute_base_item,substitute_item_product_type,substitute_item_overall_status,substitute_item_specific_status,substitute_item_sku_family,substitute_item_item_lead_style,competitor_cross,external_product_id,case_style,eol
3P10104,default,Grouper,01527P AM,01527P,P10104,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	5 ,3,1W,1,1,A,1,Ongoing,1,Active,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ/13W/G24d CFL Lamp, Preheat Start, 277Vac, 60Hz, Normal Ballast Factor, NPF","Fluorescent mBallast for 1 CFT or CFQ/13W/G24d CFL Lamp, Preheat Start, 277Vac, 60Hz, Normal Ballast Factor, NPF",60,20.95, $	20.95 ,,,Preheat ,Series,1.00,1, 	1 ,CFL,Yes,No,19-30,Single,277,Normal,0.2-0.4,277 +5% -10%, 	0 , 	-   ,A,N,"ANSI C82.1,Type P, Type 1 Outdoor"," UL/935 , CSA/C22.2 Certified", 	-   , 	-   ,3.25,1.50,1.94, 	2.81 , 	10.00 ,1.03,,,,,"CFQ13W/GX23, CFQ26W/G24d, CFT13W/GX23, CFTR26W/GX24d",,,,,,,,,,,"[""VLO13TP"", ""VLO2S13TP"", ""C13527""]",734832020171,1X,
3M10550,default,Grouper,01527P /C,01527P,M10550,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	5 ,3,1W,1,1,C,2,Discontinued,2,Limited,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ/13W/G24d CFL Lamp, Preheat Start, 277Vac, 60Hz, Normal Ballast Factor, NPF","Fluorescent mBallast for 1 CFT or CFQ/13W/G24d CFL Lamp, Preheat Start, 277Vac, 60Hz, Normal Ballast Factor, NPF",60,39.95, $	39.95 ,,,Preheat ,Series,1.00,1, 	1 ,CFL,Yes,No,19-30,Single,277,Normal,0.2-0.4,277 +5% -10%, 	-   , 	-   , 	-   ,,"ANSI C82.1,Type P, Type 1 Outdoor"," UL/935 , CSA/C22.2 Certified", 	-   , 	-   ,3.25,1.50,1.94, 	2.81 , 	10.00 ,1.03,,,,,"CFQ13W/GX23, CFQ26W/G24d, CFT13W/GX23, CFTR26W/GX24d",,,,01527P AM,01527P        ,Magnetic,Active,Ongoing,P10104,Leaded,"[""VLO13TP"", ""VLO2S13TP"", ""C13527""]",734832013746,1X,
5M10550,default,Grouper,01527P /C,01527P,M10550,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	2 ,5,10,10,1,C,2,Discontinued,2,Limited,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ/13W/G24d CFL Lamp, Preheat Start, 277Vac, 60Hz, Normal Ballast Factor, NPF","Fluorescent mBallast for 1 CFT or CFQ/13W/G24d CFL Lamp, Preheat Start, 277Vac, 60Hz, Normal Ballast Factor, NPF",60,182.95, $	18.30 ,,,Preheat ,Series,1.00,1, 	1 ,CFL,Yes,No,19-30,Single,277,Normal,0.2-0.4,277 +5% -10%, 	-   , 	-   , 	-   ,,"ANSI C82.1,Type P, Type 1 Outdoor"," UL/935 , CSA/C22.2 Certified", 	-   , 	-   ,3.25,1.50,1.94, 	2.81 , 	10.00 ,1.03,,,,,"CFQ13W/GX23, CFQ26W/G24d, CFT13W/GX23, CFTR26W/GX24d",,,,01527P AM,01527P        ,Magnetic,Active,Ongoing,P10104,Leaded,"[""VLO13TP"", ""VLO2S13TP"", ""C13527""]",,1X,
2P10104,default,Grouper,01527P AM,01527P,P10104,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	4 ,2,10W,10,1,A,1,Ongoing,1,Active,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ/13W/G24d CFL Lamp, Preheat Start, 277Vac, 60Hz, Normal Ballast Factor, NPF","Fluorescent mBallast for 1 CFT or CFQ/13W/G24d CFL Lamp, Preheat Start, 277Vac, 60Hz, Normal Ballast Factor, NPF",60,182.95, $	18.30 ,,,Preheat ,Series,1.00,1, 	1 ,CFL,Yes,No,19-30,Single,277,Normal,0.2-0.4,277 +5% -10%, 	0 , 	-   ,A,N,"ANSI C82.1,Type P, Type 1 Outdoor"," UL/935 , CSA/C22.2 Certified", 	-   , 	-   ,3.25,1.50,1.94, 	2.81 , 	10.00 ,1.03,,,,,"CFQ13W/GX23, CFQ26W/G24d, CFT13W/GX23, CFTR26W/GX24d",,,,,,,,,,,"[""VLO13TP"", ""VLO2S13TP"", ""C13527""]",734832020164,1X,
01527P,default,Grouper,01527P,01527P,P10104,configurable,4,Both,"2P10104, 3P10104, 3M10550, 5M10050","package_piececount,version_number,slash_letter",2,,,,__MAGMI_IGNORE__,__MAGMI_IGNORE__,__MAGMI_IGNORE__,1,Ongoing,1,Active,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ/13W/G24d CFL Lamp, Preheat Start, 277Vac, 60Hz, Normal Ballast Factor, NPF","Fluorescent mBallast for 1 CFT or CFQ/13W/G24d CFL Lamp, Preheat Start, 277Vac, 60Hz, Normal Ballast Factor, NPF",60,182.95, $	18.30 ,,,Preheat ,Series,1.00,1, 	1 ,CFL,Yes,No,19-30,Single,277,Normal,0.2-0.4,277 +5% -10%, 	0 , 	-   ,A,N,"ANSI C82.1,Type P, Type 1 Outdoor"," UL/935 , CSA/C22.2 Certified", 	-   , 	-   ,3.25,1.50,1.94, 	2.81 , 	10.00 ,1.03,,,,,"CFQ13W/GX23, CFQ26W/G24d, CFT13W/GX23, CFTR26W/GX24d",,,,,,,,,,,"[""VLO13TP"", ""VLO2S13TP"", ""C13527""]",734832020164,1X,
3P10092,default,Grouper,015P AM,015P,P10092,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	5 ,3,1W,1,1,A,1,Ongoing,1,Active,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp; Also operates F15T8, F15T12 or F20T12 Linear Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF","Fluorescent mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp; Also operates F15T8, F15T12 or F20T12 Linear Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,17.95, $	17.95 ,,,Preheat ,Series,0.95,1, 	1 ,CFL ,Yes,No,16-18,Single,120,Normal,0.50-0.58,120 +5% -10%,0.25-0.28, 	-   , 	-   ,N, 	-   ," UL/935 , CSA/C22.2 Certified", 	-   , 	-   ,2.81,1.16,1.63, 	-   , 	-   ,0.70,,,,,"CFQ13W/GX23, CFT13W/GX23, F15T12, F15T8, F20T12",,,,,,,,,,,"[""LO1322TP"", ""LC1420C"", ""C452""]",734832019892,1A,
2P10092,default,Grouper,015P AM,015P,P10092,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	4 ,2,10W,10,1,A,1,Ongoing,1,Active,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp; Also operates F15T8, F15T12 or F20T12 Linear Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF","Fluorescent mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp; Also operates F15T8, F15T12 or F20T12 Linear Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,127.50, $	12.75 ,,,Preheat ,Series,0.95,1, 	1 ,CFL ,Yes,No,16-18,Single,120,Normal,0.50-0.58,120 +5% -10%,0.25-0.28, 	-   , 	-   ,N, 	-   ," UL/935 , CSA/C22.2 Certified", 	-   , 	-   ,2.81,1.16,1.63, 	-   , 	-   ,0.70,,,,,"CFQ13W/GX23, CFT13W/GX23, F15T12, F15T8, F20T12",,,,,,,,,,,"[""LO1322TP"", ""LC1420C"", ""C452""]",734832019885,1A,
015P,default,Grouper,015P,015P,P10092,configurable,4,Both,"2P10092, 3P10092","package_piececount,version_number,slash_letter",2,,,,__MAGMI_IGNORE__,__MAGMI_IGNORE__,__MAGMI_IGNORE__,1,Ongoing,1,Active,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp; Also operates F15T8, F15T12 or F20T12 Linear Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF","Fluorescent mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp; Also operates F15T8, F15T12 or F20T12 Linear Lamps, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,127.50, $	12.75 ,,,Preheat ,Series,0.95,1, 	1 ,CFL ,Yes,No,16-18,Single,120,Normal,0.50-0.58,120 +5% -10%,0.25-0.28, 	-   , 	-   ,N, 	-   ," UL/935 , CSA/C22.2 Certified", 	-   , 	-   ,2.81,1.16,1.63, 	-   , 	-   ,0.70,,,,,"CFQ13W/GX23, CFT13W/GX23, F15T12, F15T8, F20T12",,,,,,,,,,,"[""LO1322TP"", ""LC1420C"", ""C452""]",734832019885,1A,
3M10566,default,Grouper,0682P /C,0682P,M10566,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	5 ,3,1W,1,1,C,2,Discontinued,2,Limited,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT5W/GW23, CFT7W/G23 or CFT or CFQ9W/G23 CFL Lamp, Also operates F6T5 or F8T5 Linear Lamp, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF","Fluorescent mBallast for 1 CFT5W/GW23, CFT7W/G23 or CFT or CFQ9W/G23 CFL Lamp, Also operates F6T5 or F8T5 Linear Lamp, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,19.95, $	19.95 ,,,Preheat ,Series,,1, 	1 ,CFL,Yes,No, 	-   ,Single,120,Normal,, 	-   , 	-   , 	-   , 	-   ,N, 	-   ,"CSA/C22.2 CERTIFIED      , UL/935(TYPE 1 OUTDOOR)", 	-   , 	-   ,2.38,0.94,1.38, 	-   , 	-   ,0.30,,,,,"CFQ9W/G23, CFT5W/G23, CFT7W/G23, CFT9W/G23, F6T5, F8T5",,,,0682P AM,0682P         ,Magnetic,Ongoing,Active,P10094,Leaded,,734832013906,1B,
3M10742,default,Grouper,0682P /D,0682P,M10742,simple,3,Searchable,,__MAGMI_IGNORE__,2, 	5 ,3,1W,1,1,D,2,Discontinued,2,Limited,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT5W/GW23, CFT7W/G23 or CFT or CFQ9W/G23 CFL Lamp, Also operates F6T5 or F8T5 Linear Lamp, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF","Fluorescent mBallast for 1 CFT5W/GW23, CFT7W/G23 or CFT or CFQ9W/G23 CFL Lamp, Also operates F6T5 or F8T5 Linear Lamp, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,21.95, $	21.95 ,,,Preheat ,Series,,1, 	1 ,CFL,Yes,No, 	-   ,Single,120,Normal,, 	-   , 	-   , 	-   , 	-   ,N, 	-   ,"CSA/C22.2 CERTIFIED      , UL/935(TYPE 1 OUTDOOR)", 	-   , 	-   ,2.38,0.94,1.38, 	-   , 	-   ,0.30,,,,,"CFQ9W/G23, CFT5W/G23, CFT7W/G23, CFT9W/G23, F6T5, F8T5",,,,0682P AM,0682P         ,Magnetic,Ongoing,Active,P10094,Leaded,,734832017942,1B,
