sku,attribute_set,store,,name,base_item,sku_family,type,visibility,visibility_def,simples_skus,packaging_type_rank,packaging_type,package_count,package_piececount,version_number,overall_status_rank,overall_status,specific_status_rank,specific_status,lead_style,product_type,description,frequency_hertz,price,price_piece,min_order_qty,version_description,starting_method,lamp_connection,ballast_factor,lamp_combinations,number_of_lamps,lamp_type,rohs_compliant,energy_star,input_power,input_type,max_voltage_combinations,power_factor,power_factor_value,line_voltage,line_current,min_start_temp,sound_rating,dimming_status,standards,approvals,ul_temp_code,product_patent,length_inches,width_inches,height_inches,mounting,remote_mounting,weight,sku_length,sku_height,sku_width,sku_weight,lamps,successor_item,successor_base_item,successor_item_sku_family,substitute_item,substitute_base_item,substitute_item_product_type,substitute_item_overall_status,substitute_item_specific_status,substitute_item_sku_family,substitute_item_item_lead_style,competitor_cross,external_product_id,case_style,eol
048P/B,Grouper,default,,048P /B,048P,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,,60,0.00, $ -   ,,,Preheat ,,,1,  1 , T5 ,,,,,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RED2L10120RR/A,Grouper,default,,RED2L10120RR /A,RED2L10120RR,NA,simple,3, Searchable ,,,,,,4,2,Discontinued,4,Unavailable,Leaded,Electronic,,50-60,0.00, $ -   ,,Bottom leads (center)/2-studs,,,,2,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,120,,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,"CFQ13W/24d, CFTR13W/GX24d",,,,PSM213CQMVDWCEST,PSM213CQMVDWCE,Electronic,Ongoing ,Active,P20190                    ,Connector,,,,
RED2L10120RR/B,Grouper,default,,RED2L10120RR /B,RED2L10120RR,NA,simple,3, Searchable ,,,,,,2,2,Discontinued,4,Unavailable,Leaded,Electronic,,50-60,0.00, $ -   ,,Leads both ends,,,,2,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,120,,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,"CFQ13W/24d, CFTR13W/GX24d",,,,PSM213CQMVDWCEST,PSM213CQMVDWCE,Electronic,Ongoing ,Active,P20190                    ,Connector,,,,
RED2L10120RR/C,Grouper,default,,RED2L10120RR /C,RED2L10120RR,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,DK,Electronic,,50-60,0.00, $ -   ,,,,,,2,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,120,,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,PSM213CQMVDWCEST,PSM213CQMVDWCE,Electronic,Ongoing ,Active,P20190                    ,Connector,,,,
RED2L10120RR/D,Grouper,default,,RED2L10120RR /D,RED2L10120RR,NA,simple,3, Searchable ,,,,,,2,2,Discontinued,4,Unavailable,Leaded,Electronic,,50-60,0.00, $ -   ,,Leads both ends,,,,2,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,120,,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,"CFQ13W/24d, CFTR13W/GX24d",,,,PSM213CQMVDWCEST,PSM213CQMVDWCE,Electronic,Ongoing ,Active,P20190                    ,Connector,,,,
RED2L10120RR/E,Grouper,default,,RED2L10120RR /E,RED2L10120RR,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,DK,Electronic,,50-60,0.00, $ -   ,,,,,,2,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,120,,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,PSM213CQMVDWCEST,PSM213CQMVDWCE,Electronic,Ongoing ,Active,P20190                    ,Connector,,,,
RED2L10120RR/F,Grouper,default,,RED2L10120RR /F,RED2L10120RR,NA,simple,3, Searchable ,,,,,,2,2,Discontinued,4,Unavailable,Leaded,Electronic,,50-60,0.00, $ -   ,,Leads both ends,,,,2,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,120,,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,"CFQ13W/24d, CFTR13W/GX24d",,,,PSM213CQMVDWCEST,PSM213CQMVDWCE,Electronic,Ongoing ,Active,P20190                    ,Connector,,,,
RED2L10120RR/G,Grouper,default,,RED2L10120RR /G,RED2L10120RR,NA,simple,3, Searchable ,,,,,,2,2,Discontinued,4,Unavailable,Leaded,Electronic,,50-60,0.00, $ -   ,,Leads both ends,,,,2,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,120,,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,"CFQ13W/24d, CFTR13W/GX24d",,,,PSM213CQMVDWCEST,PSM213CQMVDWCE,Electronic,Ongoing ,Active,P20190                    ,Connector,,,,
RED2L10120RR/H,Grouper,default,,RED2L10120RR /H,RED2L10120RR,NA,simple,3, Searchable ,,,,,,1,2,Discontinued,4,Unavailable,Leaded,Electronic,,50-60,0.00, $ -   ,,Leads one end,,,,2,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,120,,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,"CFQ13W/24d, CFTR13W/GX24d",,,,PSM213CQMVDWCEST,PSM213CQMVDWCE,Electronic,Ongoing ,Active,P20190                    ,Connector,,,,
RED2L10120RR/I,Grouper,default,,RED2L10120RR /I,RED2L10120RR,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,DK,Electronic,,50-60,0.00, $ -   ,,,,,,2,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,120,,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,PSM213CQMVDWCEST,PSM213CQMVDWCE,Electronic,Ongoing ,Active,P20190                    ,Connector,,,,
RED2L10230/A,Grouper,default,,RED2L10230 /A,RED2L10230,NA,simple,3, Searchable ,,,,,,2,2,Discontinued,4,Unavailable,Leaded,Electronic,,50-60,0.00, $ -   ,,Leads both ends,,,,2,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,230,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,"CFQ26W/24q, CFTR26W/GX24q",,,,,,,,,,,,,,
RED2L10230/B,Grouper,default,,RED2L10230 /B,RED2L10230,NA,simple,3, Searchable ,,,,,,4,2,Discontinued,4,Unavailable,Leaded,Electronic,,50-60,0.00, $ -   ,,Bottom leads (center)/2-studs,,,,2,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,230,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,"CFQ26W/24q, CFTR26W/GX24q",,,,,,,,,,,,,,
