attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,is_required,is_user_defined,default_value,is_unique,note,frontend_input_renderer,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_configurable,apply_to,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules
sku,,,,,,,SKU,,,,1,,1,,,1,1,,,,1,,,,1,,,,,,,
name,,,,,,,Name,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
store,,,,,,,Store,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
attribute_set,,,,,,,Attribute Set,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
configurable_attributes,,,,,,,Configurable Attributes,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
config_packageqty,,,,,,,Config Packageqty,,,1,1,,,,,1,1,,,,1,,,,1,,1,,,,,
config_version,,,,,,,Config Version,,,1,1,,,,,1,1,,,,1,,,,1,,1,,,,,
_type,,,,,,,Type,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
visibility,,,,,,,Visibility,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
price,,,,,,,Price,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
category,,,,,,,Category,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
root_category,,,,,,,Root Category,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
item,,,,,,,Item,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
base_item,,,,,,,Base Item,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
sku_family,,,,,,,SKU Family,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
overall_status_rank,,,,,,,Overall Status Rank,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
overall_status,,,,,,,Overall Status,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
specific_status_rank,,,,,,,Specific Status Rank,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
specific_status,,,,,,,Specific Status,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
lead_style,,,,,,,Lead Style,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
product_type,,,,,,,Product Type,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
product_description,,,,,,,Product Description,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
max_qty_tier1_pricing,,,,,,,Max Qty Tier1 Pricing,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
max_qty_tier2_pricing,,,,,,,Max Qty Tier2 Pricing,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
max_qty_tier3_pricing,,,,,,,Max Qty Tier3 Pricing,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
tier2_pricing,,,,,,,Tier2 Pricing,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
tier3_pricing,,,,,,,Tier3 Pricing,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
tier4_pricing,,,,,,,Tier4 Pricing,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
candela_pricing,,,,,,,Candela Pricing,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
lightway_pricing,,,,,,,Lightway Pricing,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
lightway_pricing_min_qty,,,,,,,Lightway Pricing Min Qty,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
min_order_qty,,,,,,,Min Order Qty,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
packaging_type_rank,,,,,,,Packaging Type Rank,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
packaging_type,,,,,,,Packaging Type,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
shrink_wrapped_status,,,,,,,Shrink Wrapped Status,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
version_description,,,,,,,Version Description,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
frequency_hertz,,,,,,,Frequency Hertz,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
starting_method,,,,,,,Starting Method,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
lamp_connection,,,,,,,Lamp Connection,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
ballast_factor,,,,,,,Ballast Factor,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
lamp_combinations,,,,,,,Lamp Combinations,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
number_of_lamps,,,,,,,Number Of Lamps,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
max_voltage_combinations,,,,,,,Max Voltage Combinations,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
voltage_120v,,,,,,,Voltage 120V,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
voltage_240v,,,,,,,Voltage 240V,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
voltage_277v,,,,,,,Voltage 277V,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
voltage_347v,,,,,,,Voltage 347V,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
power_factor,,,,,,,Power Factor,,,,1,,,,,1,1,,,,1,,,,1,,,,,,,
