Core,Lamp,Robertson Item,Successor Item,Robertson Base Item,Inventory Status,Substitute Item,sku Family,Product Type of sku Family (Electronic or Magnetic) ,Version (Magnetic only),Version Description,"Starting Method (Rapid, Instant, Program)",Lamp Connection (Parallel or Serial), Ballast Factor ,Maximum Possible Lamp Combinations,# of Lamps,Maximum Voltage Combinations, Voltage -120V , Voltage -240V , Voltage -277V, Voltage -347V,Power factor,Dimming (0-10V)  ," Length (in "") "," Width (in "") "," Height (in "") ", Weight (in lbs.) ,Philips-Advance,GE,Osram,Universal,Fulham,Keystone,Hatch,Halco,Radionic Industries
ISL432T8120 /B,F17T8,ISL432T8120 /B,IEA432T8120N /B,IEA432T8120N ,In-Stock,NA,P20135,Electronic,,,Instant,Parallel,  0.83 ,3/4,  4 ,120,Y,N,N,N,Normal,N, 9.44 , 1.38 , 1.06 , 1.30 ,REB-4P32-SC,GE432-120-RES,,B432I120RES-A,NPY-120-432-T8-IS,KTEB-432RIS-1-TP-SL,HL432RIS/12/W,E432IS/R/120/MC,
ISL432T8120 /B,F25T8,ISL432T8120 /B,IEA432T8120N /B,IEA432T8120N ,In-Stock,NA,P20135,Electronic,,,Instant,Parallel,  0.87 ,3/4,  3 ,120,Y,N,N,N,Normal,N, 9.44 , 1.38 , 1.06 , 1.30 ,REB-4P32-SC,,,B432I120RES-A,NPY-120-432-T8-IS,KTEB-432RIS-1-TP-SL,HL432RIS/12/W,E432IS/R/120/MC,
ISL432T8120 /B,F25T8,ISL432T8120 /B,IEA432T8120N /B,IEA432T8120N ,In-Stock,NA,P20135,Electronic,,,Instant,Parallel,  0.82 ,3/4,  4 ,120,Y,N,N,N,Normal,N, 9.44 , 1.38 , 1.06 , 1.30 ,REB-4P32-SC,,,B432I120RES-A,NPY-120-432-T8-IS,KTEB-432RIS-1-TP-SL,HL432RIS/12/W,E432IS/R/120/MC,
ISL432T8120 /B,F32T8,ISL432T8120 /B,IEA432T8120N /B,IEA432T8120N ,In-Stock,NA,P20135,Electronic,,,Instant,Parallel,  0.85 ,3/4,  3 ,120,Y,N,N,N,Normal,N, 9.44 , 1.38 , 1.06 , 1.30 ,REB-4P32-SC,,,B432I120RES-A,NPY-120-432-T8-IS,KTEB-432RIS-1-TP-SL,HL432RIS/12/W,E432IS/R/120/MC,
ISL432T8120 /B,F32T8,ISL432T8120 /B,IEA432T8120N /B,IEA432T8120N ,In-Stock,NA,P20135,Electronic,,,Instant,Parallel,  0.82 ,3/4,  4 ,120,Y,N,N,N,Normal,N, 9.44 , 1.38 , 1.06 , 1.30 ,REB-4P32-SC,,,B432I120RES-A,NPY-120-432-T8-IS,KTEB-432RIS-1-TP-SL,HL432RIS/12/W,E432IS/R/120/MC,
ISL432T8120 /B,F40T8,ISL432T8120 /B,IEA432T8120N /B,IEA432T8120N ,In-Stock,NA,P20135,Electronic,,,Instant,Parallel,  0.83 ,3/4,  3 ,120,Y,N,N,N,Normal,N, 9.44 , 1.38 , 1.06 , 1.30 ,,,,,NPY-120-432-T8-IS,KTEB-432RIS-1-TP-SL,,E432IS/R/120/MC,
IEL332T8120 /B,F17T8,IEL332T8120   /B,,IEL332T8120   ,Discontinued,NA,NA,Electronic,,,Instant,Parallel,  1.03 ,2/3,  2 ,120,Y,N,N,N,High,N, 9.50 , 1.69 , 1.16 , 1.30 ,,GE-332-120-N,,,WHCG3-120-T8-IS,KTEB-232-1-IS-N,,EP232IS/120/MC,
IEL332T8120 /B,F17T8,IEL332T8120   /B,,IEL332T8120   ,Discontinued,NA,NA,Electronic,,,Instant,Parallel,  0.88 ,2/3,  3 ,120,Y,N,N,N,High,N, 9.50 , 1.69 , 1.16 , 1.30 ,,GE-332-120-N,,,WHCG3-120-T8-IS,KTEB-432-1-IS-N-P,,,
IEL332T8120 /B,F17T8U,IEL332T8120   /B,,IEL332T8120   ,Discontinued,NA,NA,Electronic,,,Instant,Parallel,  1.03 ,2/3,  2 ,120,Y,N,N,N,High,N, 9.50 , 1.69 , 1.16 , 1.30 ,,,,,,KTEB-232-1-IS-N,,EP232IS/120/MC,
IEL332T8120 /B,F17T8U,IEL332T8120   /B,,IEL332T8120   ,Discontinued,NA,NA,Electronic,,,Instant,Parallel,  0.88 ,2/3,  3 ,120,Y,N,N,N,High,N, 9.50 , 1.69 , 1.16 , 1.30 ,,,,,,KTEB-432-1-IS-N-P,,,
